,Season,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,PSH,PSD,PSA
190434,2223,T1,2022-11-04,Kasimpasa,Ankaragucu,1.0,1.0,D,0.0,0.0,D,11.0,12.0,3.0,2.0,8.0,12.0,4.0,0.0,1.0,2.0,0.0,0.0,2.57,3.54,2.82
190452,2223,T1,2022-11-05,Galatasaray,Besiktas,2.0,1.0,H,1.0,1.0,D,19.0,12.0,5.0,5.0,15.0,13.0,10.0,7.0,3.0,4.0,0.0,0.0,2.14,3.74,3.39
190487,2223,T1,2022-11-05,Giresunspor,Istanbulspor,3.0,2.0,H,1.0,1.0,D,16.0,12.0,4.0,3.0,4.0,13.0,9.0,2.0,1.0,5.0,0.0,1.0,1.91,3.68,4.27
190537,2223,T1,2022-11-06,Antalyaspor,Karagumruk,4.0,2.0,H,3.0,2.0,H,22.0,16.0,7.0,7.0,17.0,17.0,9.0,1.0,1.0,3.0,0.0,0.0,1.98,3.7,3.84
190538,2223,T1,2022-11-06,Gaziantep,Kayserispor,1.0,2.0,A,0.0,1.0,A,16.0,12.0,4.0,5.0,10.0,15.0,4.0,6.0,3.0,5.0,0.0,0.0,2.35,3.4,3.25
190551,2223,T1,2022-11-06,Trabzonspor,Konyaspor,2.0,2.0,D,2.0,1.0,H,21.0,10.0,8.0,5.0,13.0,16.0,5.0,3.0,3.0,6.0,0.0,1.0,1.89,3.64,4.43
190580,2223,T1,2022-11-07,Hatayspor,Buyuksehyr,3.0,3.0,D,1.0,0.0,H,8.0,11.0,5.0,4.0,12.0,10.0,1.0,5.0,3.0,3.0,0.0,0.0,4.51,3.68,1.85
190581,2223,T1,2022-11-07,Fenerbahce,Sivasspor,1.0,0.0,H,0.0,0.0,D,12.0,8.0,3.0,3.0,18.0,23.0,2.0,3.0,7.0,5.0,1.0,0.0,1.34,5.4,9.33
190662,2223,T1,2022-11-11,Alanyaspor,Ad. Demirspor,0.0,0.0,D,0.0,0.0,D,16.0,9.0,4.0,1.0,21.0,11.0,4.0,6.0,4.0,1.0,0.0,1.0,3.0,3.77,2.33
190663,2223,T1,2022-11-11,Ankaragucu,Trabzonspor,1.0,1.0,D,0.0,0.0,D,10.0,9.0,1.0,3.0,11.0,7.0,5.0,4.0,2.0,2.0,0.0,0.0,3.16,3.42,2.39
190739,2223,T1,2022-11-12,Buyuksehyr,Galatasaray,0.0,7.0,A,0.0,3.0,A,10.0,16.0,3.0,10.0,14.0,15.0,2.0,6.0,2.0,2.0,0.0,0.0,2.84,3.47,2.59
190740,2223,T1,2022-11-12,Fenerbahce,Giresunspor,1.0,2.0,A,1.0,0.0,H,16.0,9.0,4.0,4.0,16.0,18.0,6.0,3.0,3.0,3.0,1.0,0.0,1.3,5.9,10.94
190742,2223,T1,2022-11-12,Sivasspor,Umraniyespor,2.0,2.0,D,1.0,1.0,D,13.0,15.0,9.0,6.0,12.0,16.0,6.0,5.0,1.0,0.0,0.0,0.0,2.0,3.7,3.86
190801,2223,T1,2022-11-13,Istanbulspor,Hatayspor,0.0,1.0,A,0.0,1.0,A,9.0,11.0,4.0,5.0,6.0,11.0,5.0,3.0,3.0,4.0,0.0,0.0,2.34,3.55,3.14
190802,2223,T1,2022-11-13,Kayserispor,Konyaspor,1.0,2.0,A,1.0,2.0,A,15.0,9.0,2.0,2.0,11.0,16.0,9.0,2.0,4.0,4.0,0.0,0.0,2.76,3.5,2.63
190811,2223,T1,2022-11-13,Karagumruk,Gaziantep,3.0,3.0,D,1.0,2.0,A,18.0,11.0,8.0,5.0,16.0,11.0,7.0,5.0,1.0,3.0,0.0,0.0,2.09,3.5,3.78
191161,2223,T1,2022-12-23,Umraniyespor,Buyuksehyr,1.0,3.0,A,1.0,1.0,D,11.0,12.0,5.0,4.0,16.0,18.0,1.0,2.0,3.0,1.0,0.0,0.0,3.47,3.41,2.24
191162,2223,T1,2022-12-23,Antalyaspor,Ankaragucu,0.0,2.0,A,0.0,0.0,D,11.0,8.0,2.0,2.0,9.0,12.0,1.0,6.0,2.0,2.0,0.0,0.0,2.18,3.38,3.66
191166,2223,T1,2022-12-24,Kasimpasa,Sivasspor,1.0,2.0,A,1.0,1.0,D,10.0,9.0,1.0,3.0,18.0,9.0,4.0,6.0,4.0,2.0,0.0,0.0,2.32,3.4,3.3
191172,2223,T1,2022-12-24,Trabzonspor,Fenerbahce,2.0,0.0,H,0.0,0.0,D,18.0,8.0,7.0,0.0,20.0,19.0,5.0,2.0,4.0,5.0,0.0,1.0,2.83,3.52,2.56
191174,2223,T1,2022-12-24,Hatayspor,Giresunspor,1.0,1.0,D,0.0,0.0,D,11.0,12.0,4.0,4.0,10.0,12.0,4.0,4.0,2.0,3.0,0.0,0.0,2.25,3.68,3.21
191175,2223,T1,2022-12-25,Konyaspor,Alanyaspor,2.0,2.0,D,1.0,0.0,H,10.0,15.0,3.0,6.0,9.0,21.0,4.0,5.0,3.0,4.0,0.0,0.0,1.83,3.67,4.77
191176,2223,T1,2022-12-25,Gaziantep,Besiktas,1.0,1.0,D,0.0,0.0,D,10.0,20.0,3.0,1.0,15.0,9.0,2.0,4.0,4.0,2.0,0.0,0.0,4.01,4.15,1.85
191177,2223,T1,2022-12-25,Galatasaray,Istanbulspor,2.0,1.0,H,2.0,0.0,H,17.0,12.0,5.0,2.0,13.0,7.0,12.0,5.0,4.0,2.0,0.0,0.0,1.27,6.35,10.68
191178,2223,T1,2022-12-25,Ad. Demirspor,Karagumruk,2.0,1.0,H,2.0,1.0,H,16.0,14.0,6.0,3.0,15.0,10.0,4.0,4.0,3.0,2.0,0.0,0.0,1.75,3.91,4.91
191254,2223,T1,2022-12-27,Fenerbahce,Hatayspor,4.0,0.0,H,2.0,0.0,H,25.0,4.0,15.0,0.0,9.0,15.0,11.0,0.0,2.0,3.0,0.0,0.0,1.32,5.93,9.22
191255,2223,T1,2022-12-27,Buyuksehyr,Antalyaspor,2.0,0.0,H,0.0,0.0,D,6.0,6.0,2.0,1.0,14.0,15.0,1.0,3.0,2.0,2.0,0.0,0.0,1.94,3.58,4.23
191258,2223,T1,2022-12-27,Ankaragucu,Umraniyespor,1.0,2.0,A,1.0,1.0,D,17.0,8.0,5.0,3.0,13.0,14.0,8.0,5.0,1.0,4.0,0.0,0.0,1.92,3.74,4.17
191277,2223,T1,2022-12-28,Alanyaspor,Kayserispor,3.0,1.0,H,2.0,0.0,H,5.0,14.0,3.0,4.0,23.0,18.0,0.0,7.0,3.0,4.0,0.0,0.0,2.11,3.82,3.42
191278,2223,T1,2022-12-28,Istanbulspor,Kasimpasa,2.0,1.0,H,1.0,1.0,D,10.0,11.0,4.0,3.0,15.0,15.0,3.0,5.0,2.0,4.0,0.0,0.0,2.85,3.74,2.44
191282,2223,T1,2022-12-28,Karagumruk,Trabzonspor,4.0,1.0,H,2.0,1.0,H,10.0,13.0,6.0,7.0,16.0,10.0,4.0,4.0,4.0,1.0,1.0,1.0,3.76,3.7,2.03
191308,2223,T1,2022-12-29,Sivasspor,Galatasaray,1.0,2.0,A,0.0,1.0,A,15.0,12.0,6.0,8.0,14.0,14.0,2.0,3.0,4.0,5.0,1.0,0.0,4.68,3.94,1.78
191312,2223,T1,2022-12-29,Giresunspor,Gaziantep,2.0,1.0,H,1.0,0.0,H,13.0,11.0,6.0,6.0,13.0,13.0,6.0,3.0,5.0,3.0,0.0,0.0,2.3,3.53,3.23
191322,2223,T1,2022-12-29,Besiktas,Ad. Demirspor,1.0,0.0,H,1.0,0.0,H,16.0,13.0,5.0,3.0,18.0,15.0,7.0,4.0,5.0,2.0,0.0,0.0,1.79,4.33,4.13
191451,2223,T1,2023-01-03,Umraniyespor,Hatayspor,2.0,2.0,D,1.0,1.0,D,11.0,17.0,3.0,5.0,10.0,14.0,5.0,2.0,3.0,2.0,1.0,0.0,2.28,3.54,3.26
191452,2223,T1,2023-01-03,Antalyaspor,Fenerbahce,1.0,2.0,A,1.0,0.0,H,8.0,18.0,2.0,4.0,21.0,17.0,3.0,8.0,4.0,2.0,0.0,0.0,4.49,3.96,1.8
191464,2223,T1,2023-01-04,Galatasaray,Ankaragucu,2.0,1.0,H,2.0,1.0,H,12.0,9.0,5.0,2.0,17.0,15.0,6.0,4.0,2.0,3.0,0.0,0.0,1.43,4.98,7.62
191469,2223,T1,2023-01-04,Konyaspor,Sivasspor,2.0,2.0,D,1.0,1.0,D,10.0,10.0,5.0,3.0,13.0,13.0,4.0,3.0,4.0,1.0,0.0,0.0,1.96,3.72,3.98
191473,2223,T1,2023-01-04,Kayserispor,Karagumruk,2.0,4.0,A,0.0,2.0,A,19.0,11.0,5.0,7.0,12.0,16.0,6.0,2.0,1.0,3.0,0.0,0.0,1.97,4.14,3.57
191474,2223,T1,2023-01-04,Kasimpasa,Alanyaspor,4.0,1.0,H,2.0,0.0,H,11.0,14.0,6.0,2.0,14.0,13.0,1.0,7.0,2.0,0.0,0.0,0.0,2.33,3.73,3.02
191476,2223,T1,2023-01-05,Trabzonspor,Giresunspor,3.0,0.0,H,1.0,0.0,H,17.0,5.0,8.0,1.0,11.0,9.0,10.0,1.0,2.0,2.0,0.0,0.0,1.51,4.56,6.43
191478,2223,T1,2023-01-05,Ad. Demirspor,Istanbulspor,6.0,0.0,H,1.0,0.0,H,17.0,8.0,11.0,3.0,12.0,11.0,4.0,5.0,1.0,3.0,0.0,0.0,1.47,4.96,6.51
191479,2223,T1,2023-01-05,Gaziantep,Buyuksehyr,1.0,1.0,D,0.0,1.0,A,14.0,16.0,3.0,6.0,8.0,6.0,5.0,5.0,2.0,0.0,0.0,0.0,3.41,3.59,2.17
191506,2223,T1,2023-01-07,Besiktas,Kasimpasa,2.0,1.0,H,2.0,0.0,H,14.0,12.0,8.0,4.0,18.0,13.0,6.0,7.0,2.0,4.0,0.0,0.0,1.63,4.55,5.05
191507,2223,T1,2023-01-07,Hatayspor,Antalyaspor,0.0,0.0,D,0.0,0.0,D,9.0,11.0,4.0,4.0,17.0,8.0,3.0,2.0,2.0,2.0,0.0,0.0,2.87,3.56,2.51
191557,2223,T1,2023-01-08,Karagumruk,Konyaspor,3.0,3.0,D,2.0,0.0,H,6.0,17.0,5.0,9.0,16.0,11.0,1.0,6.0,5.0,1.0,0.0,0.0,2.73,3.71,2.56
191559,2223,T1,2023-01-08,Fenerbahce,Galatasaray,0.0,3.0,A,0.0,1.0,A,13.0,13.0,4.0,8.0,10.0,20.0,8.0,4.0,2.0,5.0,1.0,0.0,2.14,3.7,3.43
191560,2223,T1,2023-01-08,Giresunspor,Umraniyespor,0.0,1.0,A,0.0,0.0,D,24.0,11.0,6.0,2.0,10.0,11.0,14.0,7.0,2.0,2.0,0.0,0.0,2.24,3.57,3.32
191561,2223,T1,2023-01-08,Ankaragucu,Kayserispor,2.0,1.0,H,1.0,1.0,D,20.0,10.0,5.0,1.0,16.0,10.0,8.0,2.0,4.0,1.0,0.0,0.0,2.18,3.57,3.46
191587,2223,T1,2023-01-09,Istanbulspor,Gaziantep,1.0,1.0,D,0.0,1.0,A,12.0,8.0,2.0,4.0,6.0,8.0,7.0,3.0,1.0,1.0,0.0,0.0,2.75,3.64,2.53
191590,2223,T1,2023-01-09,Buyuksehyr,Ad. Demirspor,2.0,1.0,H,0.0,0.0,D,16.0,18.0,5.0,5.0,19.0,12.0,6.0,4.0,2.0,2.0,0.0,0.0,2.04,3.78,3.57
191591,2223,T1,2023-01-09,Alanyaspor,Trabzonspor,5.0,0.0,H,3.0,0.0,H,11.0,15.0,6.0,5.0,12.0,12.0,2.0,4.0,2.0,3.0,0.0,0.0,3.14,3.78,2.22
191624,2223,T1,2023-01-13,Kayserispor,Sivasspor,4.0,1.0,H,3.0,0.0,H,15.0,17.0,11.0,6.0,15.0,15.0,5.0,4.0,2.0,5.0,0.0,0.0,2.3,3.63,3.15
191625,2223,T1,2023-01-13,Galatasaray,Hatayspor,4.0,0.0,H,3.0,0.0,H,28.0,10.0,10.0,4.0,11.0,10.0,8.0,3.0,0.0,0.0,0.0,0.0,1.34,5.89,8.77
191709,2223,T1,2023-01-14,Ad. Demirspor,Ankaragucu,3.0,1.0,H,0.0,0.0,D,12.0,25.0,5.0,11.0,8.0,10.0,5.0,13.0,2.0,1.0,0.0,0.0,1.85,3.87,4.36
191715,2223,T1,2023-01-14,Trabzonspor,Buyuksehyr,1.0,0.0,H,1.0,0.0,H,9.0,17.0,4.0,3.0,17.0,14.0,2.0,10.0,1.0,4.0,0.0,1.0,2.09,3.67,3.6
191716,2223,T1,2023-01-14,Konyaspor,Besiktas,1.0,2.0,A,1.0,0.0,H,15.0,20.0,6.0,4.0,10.0,18.0,4.0,5.0,1.0,1.0,0.0,0.0,2.82,3.66,2.5
191717,2223,T1,2023-01-14,Antalyaspor,Giresunspor,2.0,2.0,D,1.0,1.0,D,12.0,21.0,5.0,9.0,12.0,13.0,5.0,4.0,3.0,4.0,1.0,0.0,1.95,3.59,4.07
191746,2223,T1,2023-01-15,Gaziantep,Fenerbahce,1.0,2.0,A,0.0,1.0,A,10.0,20.0,3.0,7.0,15.0,17.0,4.0,11.0,5.0,3.0,1.0,0.0,5.03,4.2,1.68
191758,2223,T1,2023-01-15,Umraniyespor,Istanbulspor,0.0,2.0,A,0.0,2.0,A,27.0,8.0,6.0,3.0,10.0,12.0,12.0,2.0,2.0,4.0,0.0,0.0,1.96,3.9,3.81
191759,2223,T1,2023-01-15,Kasimpasa,Karagumruk,2.0,2.0,D,1.0,0.0,H,12.0,11.0,4.0,4.0,13.0,16.0,5.0,8.0,3.0,2.0,0.0,0.0,2.2,3.79,3.24
191802,2223,T1,2023-01-20,Ad. Demirspor,Giresunspor,1.0,1.0,D,0.0,1.0,A,31.0,9.0,6.0,2.0,13.0,17.0,17.0,1.0,6.0,4.0,1.0,1.0,1.8,4.25,4.18
191846,2223,T1,2023-01-21,Galatasaray,Antalyaspor,2.0,1.0,H,0.0,0.0,D,20.0,7.0,6.0,2.0,12.0,18.0,16.0,1.0,2.0,3.0,0.0,1.0,1.37,5.31,8.73
191847,2223,T1,2023-01-21,Kasimpasa,Buyuksehyr,1.0,3.0,A,1.0,0.0,H,11.0,19.0,4.0,11.0,19.0,12.0,4.0,8.0,7.0,1.0,1.0,0.0,3.1,3.46,2.41
191879,2223,T1,2023-01-22,Trabzonspor,Istanbulspor,4.0,0.0,H,1.0,0.0,H,20.0,10.0,10.0,4.0,12.0,14.0,6.0,2.0,1.0,0.0,0.0,0.0,1.35,5.4,9.25
191880,2223,T1,2023-01-22,Kayserispor,Besiktas,0.0,2.0,A,0.0,2.0,A,15.0,7.0,3.0,4.0,10.0,20.0,5.0,3.0,1.0,2.0,0.0,1.0,3.43,3.98,2.06
191881,2223,T1,2023-01-22,Alanyaspor,Karagumruk,2.0,2.0,D,1.0,0.0,H,15.0,9.0,5.0,5.0,9.0,6.0,7.0,2.0,1.0,1.0,0.0,0.0,1.88,4.15,3.88
191882,2223,T1,2023-01-22,Gaziantep,Sivasspor,1.0,2.0,A,0.0,1.0,A,11.0,13.0,3.0,8.0,13.0,11.0,7.0,4.0,3.0,0.0,0.0,0.0,2.77,3.36,2.72
191920,2223,T1,2023-01-23,Konyaspor,Ankaragucu,0.0,1.0,A,0.0,0.0,D,13.0,8.0,7.0,3.0,14.0,15.0,6.0,4.0,3.0,2.0,0.0,0.0,2.04,3.53,3.82
191924,2223,T1,2023-01-23,Umraniyespor,Fenerbahce,1.0,2.0,A,0.0,0.0,D,7.0,22.0,2.0,7.0,11.0,15.0,1.0,6.0,3.0,4.0,1.0,0.0,5.93,4.53,1.54
191971,2223,T1,2023-01-27,Besiktas,Alanyaspor,3.0,0.0,H,1.0,0.0,H,21.0,6.0,8.0,3.0,14.0,15.0,3.0,3.0,0.0,2.0,0.0,0.0,1.66,4.36,5.02
192031,2223,T1,2023-01-28,Giresunspor,Galatasaray,0.0,4.0,A,0.0,1.0,A,12.0,16.0,1.0,9.0,16.0,16.0,9.0,3.0,3.0,0.0,0.0,0.0,6.0,4.35,1.57
192032,2223,T1,2023-01-28,Antalyaspor,Umraniyespor,3.0,2.0,H,1.0,1.0,D,25.0,7.0,10.0,4.0,12.0,8.0,8.0,2.0,3.0,1.0,0.0,0.0,1.88,3.93,4.11
192033,2223,T1,2023-01-28,Hatayspor,Trabzonspor,2.0,1.0,H,0.0,1.0,A,10.0,16.0,3.0,5.0,13.0,11.0,4.0,9.0,4.0,2.0,0.0,0.0,4.67,3.95,1.78
192034,2223,T1,2023-01-28,Ankaragucu,Gaziantep,0.0,2.0,A,0.0,0.0,D,17.0,16.0,5.0,8.0,7.0,12.0,5.0,11.0,1.0,4.0,0.0,0.0,1.92,3.73,4.18
192035,2223,T1,2023-01-28,Sivasspor,Ad. Demirspor,1.0,2.0,A,0.0,1.0,A,19.0,11.0,7.0,3.0,8.0,9.0,7.0,6.0,0.0,2.0,0.0,0.0,2.73,3.65,2.58
192100,2223,T1,2023-01-29,Fenerbahce,Kasimpasa,5.0,1.0,H,2.0,1.0,H,22.0,4.0,11.0,1.0,16.0,23.0,6.0,1.0,2.0,4.0,0.0,0.0,1.33,5.75,9.53
192101,2223,T1,2023-01-29,Buyuksehyr,Konyaspor,2.0,0.0,H,1.0,0.0,H,13.0,12.0,5.0,2.0,13.0,10.0,6.0,3.0,0.0,0.0,0.0,0.0,1.97,3.56,4.14
192102,2223,T1,2023-01-29,Istanbulspor,Kayserispor,2.0,4.0,A,2.0,1.0,H,8.0,15.0,3.0,7.0,11.0,20.0,1.0,7.0,0.0,1.0,0.0,0.0,3.06,3.63,2.35
192153,2223,T1,2023-01-31,Alanyaspor,Sivasspor,0.0,3.0,A,0.0,2.0,A,8.0,10.0,2.0,6.0,9.0,16.0,4.0,4.0,2.0,2.0,0.0,0.0,2.09,3.63,3.65
192154,2223,T1,2023-01-31,Karagumruk,Besiktas,1.0,1.0,D,0.0,1.0,A,9.0,11.0,2.0,2.0,12.0,10.0,6.0,8.0,1.0,1.0,0.0,0.0,3.92,4.06,1.89
192157,2223,T1,2023-02-01,Trabzonspor,Antalyaspor,2.0,0.0,H,1.0,0.0,H,18.0,6.0,7.0,1.0,10.0,15.0,3.0,4.0,1.0,0.0,0.0,0.0,1.64,4.06,5.76
192158,2223,T1,2023-02-01,Gaziantep,Hatayspor,4.0,1.0,H,1.0,1.0,D,12.0,12.0,5.0,2.0,15.0,13.0,4.0,2.0,4.0,2.0,0.0,0.0,2.09,3.5,3.79
192164,2223,T1,2023-02-01,Galatasaray,Umraniyespor,3.0,2.0,H,1.0,2.0,A,30.0,5.0,12.0,5.0,13.0,14.0,13.0,1.0,0.0,3.0,0.0,1.0,1.22,7.31,12.81
192166,2223,T1,2023-02-01,Kasimpasa,Giresunspor,5.0,1.0,H,3.0,1.0,H,13.0,12.0,7.0,6.0,15.0,8.0,4.0,6.0,2.0,2.0,0.0,0.0,2.04,3.88,3.55
192180,2223,T1,2023-02-02,Kayserispor,Buyuksehyr,1.0,0.0,H,0.0,0.0,D,20.0,25.0,9.0,5.0,13.0,18.0,5.0,10.0,2.0,3.0,0.0,0.0,3.1,3.32,2.47
192181,2223,T1,2023-02-02,Konyaspor,Istanbulspor,0.0,1.0,A,0.0,0.0,D,15.0,14.0,2.0,3.0,13.0,8.0,5.0,4.0,2.0,1.0,0.0,0.0,1.52,4.64,6.42
192183,2223,T1,2023-02-02,Ad. Demirspor,Fenerbahce,1.0,1.0,D,0.0,0.0,D,22.0,8.0,10.0,3.0,15.0,15.0,8.0,3.0,2.0,3.0,0.0,0.0,3.36,4.04,2.07
192264,2223,T1,2023-02-04,Antalyaspor,Gaziantep,1.0,0.0,H,1.0,0.0,H,10.0,12.0,2.0,3.0,14.0,8.0,5.0,7.0,3.0,5.0,0.0,1.0,1.96,3.84,3.87
192265,2223,T1,2023-02-04,Sivasspor,Besiktas,1.0,0.0,H,1.0,0.0,H,9.0,9.0,2.0,0.0,15.0,20.0,3.0,5.0,2.0,2.0,0.0,0.0,3.56,3.66,2.11
192266,2223,T1,2023-02-04,Ankaragucu,Karagumruk,0.0,2.0,A,0.0,1.0,A,14.0,17.0,4.0,4.0,12.0,12.0,10.0,2.0,0.0,1.0,0.0,0.0,2.16,3.79,3.32
192344,2223,T1,2023-02-05,Galatasaray,Trabzonspor,2.0,1.0,H,1.0,1.0,D,23.0,11.0,10.0,2.0,19.0,16.0,6.0,5.0,1.0,3.0,0.0,0.0,1.7,4.23,4.86
192345,2223,T1,2023-02-05,Hatayspor,Kasimpasa,1.0,0.0,H,0.0,0.0,D,13.0,14.0,3.0,0.0,13.0,12.0,5.0,8.0,2.0,3.0,0.0,0.0,2.39,3.77,2.9
192346,2223,T1,2023-02-05,Istanbulspor,Alanyaspor,2.0,1.0,H,0.0,0.0,D,7.0,14.0,4.0,5.0,7.0,10.0,1.0,11.0,1.0,0.0,0.0,0.0,3.24,3.88,2.16
192845,2223,T1,2023-02-25,Giresunspor,Kayserispor,1.0,2.0,A,0.0,2.0,A,29.0,11.0,6.0,5.0,16.0,15.0,9.0,4.0,3.0,7.0,0.0,0.0,2.6,3.43,2.84
192846,2223,T1,2023-02-25,Fenerbahce,Konyaspor,4.0,0.0,H,2.0,0.0,H,14.0,6.0,5.0,4.0,19.0,16.0,3.0,1.0,1.0,4.0,0.0,1.0,1.51,4.63,6.55
192884,2223,T1,2023-02-25,Umraniyespor,Gaziantep,3.0,0.0,H,,,,,,,,,,,,,,,,,,
192980,2223,T1,2023-02-26,Umraniyespor,Ad. Demirspor,1.0,1.0,D,0.0,0.0,D,17.0,22.0,7.0,10.0,20.0,10.0,7.0,7.0,0.0,0.0,0.0,0.0,3.47,3.96,2.05
192981,2223,T1,2023-02-26,Besiktas,Antalyaspor,0.0,0.0,D,0.0,0.0,D,20.0,3.0,5.0,1.0,12.0,16.0,8.0,1.0,1.0,3.0,0.0,0.0,1.66,4.14,5.32
193067,2223,T1,2023-03-03,Alanyaspor,Buyuksehyr,1.0,0.0,H,0.0,0.0,D,9.0,12.0,3.0,4.0,9.0,16.0,2.0,10.0,1.0,2.0,1.0,0.0,2.71,3.34,2.78
193120,2223,T1,2023-03-04,Karagumruk,Sivasspor,4.0,3.0,H,1.0,1.0,D,16.0,20.0,9.0,7.0,18.0,8.0,4.0,5.0,3.0,1.0,0.0,0.0,2.26,3.53,3.32
193121,2223,T1,2023-03-04,Trabzonspor,Umraniyespor,1.0,2.0,A,0.0,0.0,D,25.0,12.0,7.0,7.0,12.0,11.0,7.0,3.0,2.0,4.0,1.0,0.0,1.46,4.79,7.34
193122,2223,T1,2023-03-04,Kayserispor,Fenerbahce,1.0,2.0,A,0.0,1.0,A,15.0,17.0,3.0,4.0,13.0,11.0,10.0,7.0,0.0,1.0,0.0,0.0,4.48,3.86,1.83
193228,2223,T1,2023-03-05,Ad. Demirspor,Hatayspor,3.0,0.0,H,,,,,,,,,,,,,,,,,,
193229,2223,T1,2023-03-05,Gaziantep,Galatasaray,0.0,3.0,A,,,,,,,,,,,,,,,,,,
193231,2223,T1,2023-03-05,Konyaspor,Giresunspor,0.0,0.0,D,0.0,0.0,D,18.0,6.0,6.0,1.0,14.0,13.0,2.0,1.0,3.0,4.0,0.0,0.0,1.87,3.74,4.25
193241,2223,T1,2023-03-05,Besiktas,Ankaragucu,2.0,1.0,H,1.0,0.0,H,20.0,10.0,10.0,4.0,18.0,15.0,2.0,6.0,3.0,1.0,0.0,0.0,1.52,4.77,6.11
193246,2223,T1,2023-03-06,Kasimpasa,Antalyaspor,3.0,1.0,H,2.0,1.0,H,10.0,15.0,4.0,2.0,15.0,10.0,3.0,7.0,2.0,1.0,0.0,0.0,2.31,3.47,3.15
193287,2223,T1,2023-03-10,Giresunspor,Karagumruk,2.0,2.0,D,2.0,1.0,H,5.0,12.0,3.0,5.0,18.0,16.0,2.0,2.0,2.0,2.0,0.0,0.0,2.45,3.69,2.83
193393,2223,T1,2023-03-11,Galatasaray,Kasimpasa,1.0,0.0,H,0.0,0.0,D,16.0,7.0,3.0,2.0,13.0,18.0,7.0,1.0,3.0,2.0,0.0,0.0,1.29,6.29,9.65
193395,2223,T1,2023-03-11,Antalyaspor,Kayserispor,4.0,0.0,H,1.0,0.0,H,20.0,5.0,10.0,1.0,13.0,18.0,7.0,2.0,1.0,0.0,0.0,0.0,2.24,3.44,3.45
